547,705,683,390,393,0,0,-12.32,5.43,V
548,706,683,391,394,0,0,-11.85,4.64,V
706,697,685,365,390,0,0,-17.40,6.91,W
706,698,685,357,366,0,0,-17.09,7.50,W
706,699,685,356,360,0,0,-16.04,6.86,W
707,700,686,356,358,0,0,-15.92,7.34,W
707,699,684,354,357,0,0,-16.09,8.07,W
525,489,483,322,352,0,0,-11.31,12.27,X
527,491,485,324,332,0,0,-10.96,13.09,X
527,492,485,324,330,0,0,-9.84,13.03,X
528,493,484,325,326,0,0,-10.15,12.74,X
529,493,483,325,326,0,0,-10.61,12.76,X
559,529,406,466,449,0,1023,-6.70,-3.08,Y
559,530,407,466,462,0,1023,-5.38,-4.10,Y
560,531,408,466,466,0,1023,-4.24,-5.83,Y
560,531,408,466,465,0,1023,-3.70,-5.83,Y
561,533,410,467,466,0,1023,-3.86,-5.77,Y
558,528,686,321,352,0,0,-102.83,-17.50,Z
559,528,686,322,331,0,0,-102.27,-17.39,Z
560,529,687,324,326,0,0,-107.32,-18.21,Z
559,529,685,324,327,0,0,-112.90,-18.82,Z
560,529,686,325,327,0,0,-118.25,-18.83,Z
